::1 - - [19/Jan/2024:11:15:34 +0000] "GET /movies/Toy%20Story HTTP/1.1" 404 157 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:16:43 +0000] "GET /movies/Toy%20Story HTTP/1.1" 404 157 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:17:05 +0000] "GET /movies/TheAvengers HTTP/1.1" 404 157 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:17:18 +0000] "GET /movies/The20%Avengers HTTP/1.1" 404 162 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:17:28 +0000] "GET /movies/The%20Avengers HTTP/1.1" 404 160 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:17:48 +0000] "GET /movies/The%20Avengers HTTP/1.1" 404 160 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:18:28 +0000] "GET /movies/The%20Avengers HTTP/1.1" 404 160 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:38:38 +0000] "GET /movies/The%20Avengers HTTP/1.1" 404 160 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:40:07 +0000] "GET /movies/The%20Avengers HTTP/1.1" 404 160 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:41:20 +0000] "GET /movies/The%20Avengers HTTP/1.1" 404 160 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:41:27 +0000] "POST /movies/The%20Avengers HTTP/1.1" 404 161 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:41:30 +0000] "GET /movies/The%20Avengers HTTP/1.1" 404 160 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:43:57 +0000] "GET /movies/The%20Avengers HTTP/1.1" 404 160 "-" "PostmanRuntime/7.36.1"
::1 - - [19/Jan/2024:11:44:39 +0000] "GET /movies/Toy%20Story HTTP/1.1" 404 157 "-" "PostmanRuntime/7.36.1"
::1 - - [20/Jan/2024:11:54:12 +0000] "GET /director HTTP/1.1" 404 147 "-" "PostmanRuntime/7.36.1"
::1 - - [21/Jan/2024:11:07:16 +0000] "GET /directors/Peter%20Jackson HTTP/1.1" 404 164 "-" "PostmanRuntime/7.36.1"
::1 - - [22/Jan/2024:11:21:26 +0000] "GET /movie/genre/Fantasy HTTP/1.1" 404 158 "-" "PostmanRuntime/7.36.1"
::1 - - [22/Jan/2024:11:43:52 +0000] "PUT /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.36.1"
::1 - - [22/Jan/2024:11:56:12 +0000] "DELETE /movies HTTP/1.1" 404 148 "-" "PostmanRuntime/7.36.1"
::1 - - [23/Jan/2024:11:21:55 +0000] "GET /user HTTP/1.1" 404 143 "-" "PostmanRuntime/7.36.1"
::1 - - [23/Jan/2024:11:28:41 +0000] "PUT /users/RebbecaR24/movies/MovieID HTTP/1.1" 404 170 "-" "PostmanRuntime/7.36.1"
::1 - - [23/Jan/2024:11:29:47 +0000] "PUT /users/RebbecaR24/movies/MovieID HTTP/1.1" 404 170 "-" "PostmanRuntime/7.36.1"
::1 - - [23/Jan/2024:11:51:03 +0000] "DELETE /users/John123/movies/659d3db5c6fe1ca409f36c15 HTTP/1.1" 404 187 "-" "PostmanRuntime/7.36.1"
::1 - - [23/Jan/2024:11:51:21 +0000] "DELETE /users/John123/movies/659d3db5c6fe1ca409f36c15 HTTP/1.1" 404 187 "-" "PostmanRuntime/7.36.1"
::1 - - [23/Jan/2024:11:52:20 +0000] "DELETE /users/John123/movies/659d3db5c6fe1ca409f36c15 HTTP/1.1" 404 187 "-" "PostmanRuntime/7.36.1"
::1 - - [28/Jan/2024:11:53:42 +0000] "POST /user HTTP/1.1" 404 144 "-" "PostmanRuntime/7.36.1"
::1 - - [28/Jan/2024:11:54:24 +0000] "POST /user HTTP/1.1" 404 144 "-" "PostmanRuntime/7.36.1"
::1 - - [28/Jan/2024:16:58:58 +0000] "POST /user HTTP/1.1" 404 144 "-" "PostmanRuntime/7.36.1"
::1 - - [28/Jan/2024:16:59:14 +0000] "POST /user HTTP/1.1" 404 144 "-" "PostmanRuntime/7.36.1"
::1 - - [28/Jan/2024:17:32:23 +0000] "PUT /user/newuser HTTP/1.1" 404 151 "-" "PostmanRuntime/7.36.1"
::1 - - [28/Jan/2024:17:33:06 +0000] "PUT /user/newuser HTTP/1.1" 404 151 "-" "PostmanRuntime/7.36.1"
::1 - - [28/Jan/2024:17:33:24 +0000] "PUT /user/newuser HTTP/1.1" 404 151 "-" "PostmanRuntime/7.36.1"
